#indx, M/M0, #-of-progs/N_trees 
0, 0.0003295,   0.01 
1, 0.0003571,      0 
2, 0.0003871, 0.003333 
3, 0.0004196, 0.01333 
4, 0.0004548, 0.01333 
5, 0.0004929,   0.01 
6, 0.0005343, 0.003333 
7, 0.0005791,   0.01 
8, 0.0006277, 0.003333 
9, 0.0006804, 0.003333 
10, 0.0007375, 0.01333 
11, 0.0007994, 0.006667 
12, 0.0008665,   0.01 
13, 0.0009392, 0.01667 
14, 0.001018,   0.01 
15, 0.001103, 0.006667 
16, 0.001196, 0.003333 
17, 0.001296, 0.003333 
18, 0.001405,   0.01 
19, 0.001523, 0.01667 
20, 0.001651, 0.01333 
21, 0.00179,   0.01 
22, 0.00194,   0.01 
23, 0.002103, 0.01667 
24, 0.002279, 0.006667 
25, 0.00247,   0.01 
26, 0.002678,   0.02 
27, 0.002902,   0.03 
28, 0.003146, 0.02333 
29, 0.00341, 0.01333 
30, 0.003696, 0.03333 
31, 0.004006, 0.04667 
32, 0.004342, 0.02333 
33, 0.004707, 0.02667 
34, 0.005102, 0.02333 
35, 0.00553,   0.02 
36, 0.005994,   0.04 
37, 0.006497,   0.05 
38, 0.007042, 0.03333 
39, 0.007633,   0.03 
40, 0.008273, 0.01667 
41, 0.008968,   0.03 
42, 0.00972, 0.02333 
43, 0.01054, 0.03333 
44, 0.01142,   0.01 
45, 0.01238,   0.02 
46, 0.01342, 0.02667 
47, 0.01454, 0.02667 
48, 0.01576,   0.01 
49, 0.01709,   0.02 
50, 0.01852, 0.01667 
51, 0.02007, 0.01667 
52, 0.02176, 0.003333 
53, 0.02359, 0.02333 
54, 0.02556, 0.01333 
55, 0.02771,      0 
56, 0.03004,      0 
57, 0.03256, 0.003333 
58, 0.03529,      0 
59, 0.03825, 0.003333 
60, 0.04146, 0.003333 
61, 0.04494,      0 
62, 0.04871,      0 
63, 0.0528,      0 
64, 0.05723, 0.003333 
65, 0.06203,      0 
66, 0.06724,      0 
67, 0.07288,      0 
68, 0.07899,      0 
69, 0.08562,      0 
70, 0.09281,      0 
71, 0.1006,      0 
72,  0.109,      0 
73, 0.1182,      0 
74, 0.1281,      0 
75, 0.1389,      0 
76, 0.1505,      0 
77, 0.1631,      0 
78, 0.1768,      0 
79, 0.1917,      0 
80, 0.2078,      0 
81, 0.2252,      0 
82, 0.2441,      0 
83, 0.2646,      0 
84, 0.2868,      0 
85, 0.3108,      0 
86, 0.3369,      0 
87, 0.3652,      0 
88, 0.3959,      0 
89, 0.4291,      0 
90, 0.4651,      0 
91, 0.5041,      0 
92, 0.5464,      0 
93, 0.5923,      0 
94,  0.642,      0 
95, 0.6958,      0 
96, 0.7542,      0 
97, 0.8175,      0 
98, 0.8861,      0 
99, 0.9605,      0 
