#indx, M/M0, #-of-progs/N_trees 
0, 0.0001047,      0 
1, 0.0001148,      0 
2, 0.0001259, 0.003333 
3, 0.000138,      0 
4, 0.0001514, 0.003333 
5, 0.000166, 0.003333 
6, 0.000182,      0 
7, 0.0001995,      0 
8, 0.0002188, 0.006667 
9, 0.0002399,   0.01 
10, 0.000263, 0.01333 
11, 0.0002884,   0.01 
12, 0.0003162, 0.003333 
13, 0.0003467, 0.006667 
14, 0.0003802, 0.003333 
15, 0.0004169,   0.01 
16, 0.0004571, 0.01333 
17, 0.0005012, 0.003333 
18, 0.0005495, 0.01333 
19, 0.0006026, 0.01333 
20, 0.0006607, 0.01333 
21, 0.0007244,   0.01 
22, 0.0007943, 0.01333 
23, 0.000871, 0.02333 
24, 0.000955, 0.01333 
25, 0.001047, 0.03333 
26, 0.001148, 0.01667 
27, 0.001259, 0.01333 
28, 0.00138, 0.01667 
29, 0.001514, 0.02667 
30, 0.00166, 0.01667 
31, 0.00182, 0.01333 
32, 0.001995, 0.02333 
33, 0.002188, 0.03667 
34, 0.002399, 0.02333 
35, 0.00263, 0.04667 
36, 0.002884, 0.02667 
37, 0.003162,   0.02 
38, 0.003467, 0.03333 
39, 0.003802,   0.03 
40, 0.004169,   0.05 
41, 0.004571, 0.02333 
42, 0.005012, 0.02333 
43, 0.005495,   0.03 
44, 0.006026,   0.04 
45, 0.006607, 0.02333 
46, 0.007244, 0.02333 
47, 0.007943, 0.03333 
48, 0.00871, 0.01333 
49, 0.00955,   0.02 
50, 0.01047,   0.02 
51, 0.01148, 0.01667 
52, 0.01259, 0.03333 
53, 0.0138, 0.01667 
54, 0.01514, 0.01333 
55, 0.0166, 0.006667 
56, 0.0182, 0.003333 
57, 0.01995, 0.003333 
58, 0.02188,      0 
59, 0.02399,      0 
60, 0.0263, 0.006667 
61, 0.02884, 0.003333 
62, 0.03162,      0 
63, 0.03467,      0 
64, 0.03802, 0.003333 
65, 0.04169,      0 
66, 0.04571,      0 
67, 0.05012,      0 
68, 0.05495,      0 
69, 0.06026,      0 
70, 0.06607,      0 
71, 0.07244,      0 
72, 0.07943,      0 
73, 0.0871,      0 
74, 0.0955,      0 
75, 0.1047,      0 
76, 0.1148,      0 
77, 0.1259,      0 
78,  0.138,      0 
79, 0.1514,      0 
80,  0.166,      0 
81,  0.182,      0 
82, 0.1995,      0 
83, 0.2188,      0 
84, 0.2399,      0 
85,  0.263,      0 
86, 0.2884,      0 
87, 0.3162,      0 
88, 0.3467,      0 
89, 0.3802,      0 
90, 0.4169,      0 
91, 0.4571,      0 
92, 0.5012,      0 
93, 0.5495,      0 
94, 0.6026,      0 
95, 0.6607,      0 
96, 0.7244,      0 
97, 0.7943,      0 
98,  0.871,      0 
99,  0.955,      0 
