#indx, M/M0, #-of-progs/N_trees 
0, 3.333e-05, 0.003333 
1, 3.697e-05, 0.003333 
2, 4.1e-05,      0 
3, 4.548e-05, 0.003333 
4, 5.044e-05,      0 
5, 5.595e-05,      0 
6, 6.206e-05, 0.003333 
7, 6.883e-05, 0.003333 
8, 7.635e-05,      0 
9, 8.468e-05,      0 
10, 9.392e-05, 0.003333 
11, 0.0001042, 0.01333 
12, 0.0001156,      0 
13, 0.0001282,      0 
14, 0.0001422, 0.003333 
15, 0.0001577,      0 
16, 0.0001749, 0.01333 
17, 0.000194,   0.01 
18, 0.0002152,   0.01 
19, 0.0002386, 0.003333 
20, 0.0002647, 0.01333 
21, 0.0002936,   0.01 
22, 0.0003256, 0.01333 
23, 0.0003612, 0.01333 
24, 0.0004006,   0.01 
25, 0.0004444, 0.02667 
26, 0.0004929, 0.006667 
27, 0.0005467,   0.02 
28, 0.0006064, 0.01667 
29, 0.0006725, 0.02667 
30, 0.000746,   0.01 
31, 0.0008274, 0.02333 
32, 0.0009177, 0.02333 
33, 0.001018, 0.02667 
34, 0.001129,   0.03 
35, 0.001252,   0.03 
36, 0.001389,   0.02 
37, 0.001541, 0.04333 
38, 0.001709, 0.02333 
39, 0.001895,   0.06 
40, 0.002102, 0.04667 
41, 0.002332, 0.04667 
42, 0.002586, 0.03667 
43, 0.002869, 0.04333 
44, 0.003182, 0.03333 
45, 0.003529, 0.04667 
46, 0.003914, 0.03667 
47, 0.004342,   0.02 
48, 0.004816, 0.01333 
49, 0.005341, 0.01333 
50, 0.005925,   0.05 
51, 0.006571, 0.006667 
52, 0.007289, 0.003333 
53, 0.008084, 0.01667 
54, 0.008967, 0.01667 
55, 0.009946, 0.01667 
56, 0.01103, 0.006667 
57, 0.01224, 0.003333 
58, 0.01357,      0 
59, 0.01505, 0.006667 
60, 0.0167, 0.003333 
61, 0.01852, 0.003333 
62, 0.02054,      0 
63, 0.02278,      0 
64, 0.02527,      0 
65, 0.02803,      0 
66, 0.03109,      0 
67, 0.03448,      0 
68, 0.03825,      0 
69, 0.04242,      0 
70, 0.04705,      0 
71, 0.05219,      0 
72, 0.05789,      0 
73, 0.06421,      0 
74, 0.07122,      0 
75, 0.07899,      0 
76, 0.08761,      0 
77, 0.09718,      0 
78, 0.1078,      0 
79, 0.1196,      0 
80, 0.1326,      0 
81, 0.1471,      0 
82, 0.1631,      0 
83, 0.1809,      0 
84, 0.2007,      0 
85, 0.2226,      0 
86, 0.2469,      0 
87, 0.2739,      0 
88, 0.3038,      0 
89, 0.3369,      0 
90, 0.3737,      0 
91, 0.4145,      0 
92, 0.4598,      0 
93, 0.5099,      0 
94, 0.5656,      0 
95, 0.6274,      0 
96, 0.6958,      0 
97, 0.7718,      0 
98, 0.8561,      0 
99, 0.9495,      0 
