#indx, M/M0, #-of-progs/N_trees 
0, 0.01023,   0.02 
1, 0.01072, 0.01333 
2, 0.01122,   0.03 
3, 0.01175,   0.02 
4, 0.0123, 0.01333 
5, 0.01288,   0.01 
6, 0.01349,   0.01 
7, 0.01413,   0.02 
8, 0.01479,   0.03 
9, 0.01549, 0.01333 
10, 0.01622, 0.01667 
11, 0.01698, 0.02333 
12, 0.01778, 0.02333 
13, 0.01862, 0.01333 
14, 0.0195, 0.01667 
15, 0.02042, 0.01667 
16, 0.02138,   0.03 
17, 0.02239, 0.03333 
18, 0.02344,   0.02 
19, 0.02455, 0.01333 
20, 0.0257, 0.003333 
21, 0.02692, 0.01333 
22, 0.02818,   0.01 
23, 0.02951, 0.02333 
24, 0.0309, 0.01333 
25, 0.03236,      0 
26, 0.03388,   0.01 
27, 0.03548, 0.01667 
28, 0.03715, 0.006667 
29, 0.0389,   0.01 
30, 0.04074,   0.01 
31, 0.04266, 0.01333 
32, 0.04467, 0.003333 
33, 0.04677, 0.01667 
34, 0.04898,   0.01 
35, 0.05129, 0.01333 
36, 0.0537,   0.01 
37, 0.05623,   0.01 
38, 0.05888, 0.003333 
39, 0.06166, 0.006667 
40, 0.06457, 0.003333 
41, 0.06761, 0.006667 
42, 0.07079, 0.006667 
43, 0.07413, 0.003333 
44, 0.07762, 0.003333 
45, 0.08128, 0.006667 
46, 0.08511,      0 
47, 0.08913,      0 
48, 0.09333, 0.003333 
49, 0.09772,      0 
50, 0.1023,      0 
51, 0.1072,      0 
52, 0.1122,      0 
53, 0.1175,      0 
54,  0.123,      0 
55, 0.1288, 0.006667 
56, 0.1349,      0 
57, 0.1413,      0 
58, 0.1479,      0 
59, 0.1549,      0 
60, 0.1622,      0 
61, 0.1698,      0 
62, 0.1778,      0 
63, 0.1862,      0 
64,  0.195,      0 
65, 0.2042,      0 
66, 0.2138,      0 
67, 0.2239,      0 
68, 0.2344,      0 
69, 0.2455,      0 
70,  0.257,      0 
71, 0.2692,      0 
72, 0.2818,      0 
73, 0.2951,      0 
74,  0.309,      0 
75, 0.3236,      0 
76, 0.3388,      0 
77, 0.3548,      0 
78, 0.3715,      0 
79,  0.389,      0 
80, 0.4074,      0 
81, 0.4266,      0 
82, 0.4467,      0 
83, 0.4677,      0 
84, 0.4898,      0 
85, 0.5129,      0 
86,  0.537,      0 
87, 0.5623,      0 
88, 0.5888,      0 
89, 0.6166,      0 
90, 0.6457,      0 
91, 0.6761,      0 
92, 0.7079,      0 
93, 0.7413,      0 
94, 0.7762,      0 
95, 0.8128,      0 
96, 0.8511,      0 
97, 0.8913,      0 
98, 0.9333,      0 
99, 0.9772,      0 
