#indx, M/M0, #-of-progs/N_trees 
0, 1.059e-05, 0.006667 
1, 1.189e-05,      0 
2, 1.334e-05,      0 
3, 1.496e-05,      0 
4, 1.679e-05, 0.003333 
5, 1.884e-05, 0.003333 
6, 2.113e-05, 0.003333 
7, 2.371e-05, 0.003333 
8, 2.661e-05,      0 
9, 2.985e-05, 0.006667 
10, 3.35e-05, 0.003333 
11, 3.758e-05, 0.003333 
12, 4.217e-05,      0 
13, 4.732e-05,      0 
14, 5.309e-05, 0.003333 
15, 5.957e-05, 0.003333 
16, 6.683e-05, 0.006667 
17, 7.499e-05, 0.006667 
18, 8.414e-05,      0 
19, 9.441e-05, 0.01333 
20, 0.0001059, 0.01333 
21, 0.0001189,   0.01 
22, 0.0001334, 0.003333 
23, 0.0001496, 0.006667 
24, 0.0001679,   0.01 
25, 0.0001884, 0.02667 
26, 0.0002113, 0.006667 
27, 0.0002371,   0.02 
28, 0.0002661, 0.01667 
29, 0.0002985,   0.02 
30, 0.000335, 0.01667 
31, 0.0003758,   0.02 
32, 0.0004217, 0.02667 
33, 0.0004732,   0.02 
34, 0.0005309,   0.03 
35, 0.0005957,   0.02 
36, 0.0006683, 0.01667 
37, 0.0007499, 0.03667 
38, 0.0008414, 0.04333 
39, 0.0009441,   0.04 
40, 0.001059,   0.05 
41, 0.001189, 0.03333 
42, 0.001334, 0.04333 
43, 0.001496,   0.05 
44, 0.001679,   0.05 
45, 0.001884, 0.04333 
46, 0.002113,   0.04 
47, 0.002371, 0.02667 
48, 0.002661, 0.02667 
49, 0.002985, 0.02667 
50, 0.00335, 0.03333 
51, 0.003758, 0.01333 
52, 0.004217, 0.02333 
53, 0.004732, 0.01667 
54, 0.005309, 0.01667 
55, 0.005957, 0.006667 
56, 0.006683, 0.003333 
57, 0.007499, 0.006667 
58, 0.008414,      0 
59, 0.009441, 0.003333 
60, 0.01059, 0.003333 
61, 0.01189, 0.006667 
62, 0.01334,      0 
63, 0.01496,      0 
64, 0.01679,      0 
65, 0.01884,      0 
66, 0.02113,      0 
67, 0.02371,      0 
68, 0.02661,      0 
69, 0.02985,      0 
70, 0.0335,      0 
71, 0.03758,      0 
72, 0.04217,      0 
73, 0.04732,      0 
74, 0.05309,      0 
75, 0.05957,      0 
76, 0.06683,      0 
77, 0.07499,      0 
78, 0.08414,      0 
79, 0.09441,      0 
80, 0.1059,      0 
81, 0.1189,      0 
82, 0.1334,      0 
83, 0.1496,      0 
84, 0.1679,      0 
85, 0.1884,      0 
86, 0.2113,      0 
87, 0.2371,      0 
88, 0.2661,      0 
89, 0.2985,      0 
90,  0.335,      0 
91, 0.3758,      0 
92, 0.4217,      0 
93, 0.4732,      0 
94, 0.5309,      0 
95, 0.5957,      0 
96, 0.6683,      0 
97, 0.7499,      0 
98, 0.8414,      0 
99, 0.9441,      0 
