#indx, M/M0, #-of-progs/N_trees 
0, 3.371e-06,      0 
1, 3.827e-06,      0 
2, 4.343e-06,      0 
3, 4.929e-06, 0.003333 
4, 5.595e-06, 0.006667 
5, 6.35e-06,      0 
6, 7.208e-06,      0 
7, 8.181e-06,      0 
8, 9.285e-06, 0.003333 
9, 1.054e-05, 0.006667 
10, 1.196e-05,      0 
11, 1.358e-05, 0.003333 
12, 1.541e-05,      0 
13, 1.749e-05,      0 
14, 1.985e-05,      0 
15, 2.253e-05,   0.01 
16, 2.557e-05,      0 
17, 2.902e-05,      0 
18, 3.294e-05, 0.003333 
19, 3.739e-05, 0.006667 
20, 4.244e-05, 0.006667 
21, 4.817e-05, 0.01333 
22, 5.467e-05,   0.01 
23, 6.205e-05,   0.01 
24, 7.043e-05,      0 
25, 7.993e-05, 0.01333 
26, 9.073e-05, 0.006667 
27, 0.000103,   0.02 
28, 0.0001169, 0.01333 
29, 0.0001327, 0.01667 
30, 0.0001506,   0.02 
31, 0.0001709, 0.03333 
32, 0.000194, 0.02333 
33, 0.0002201,   0.03 
34, 0.0002499, 0.02667 
35, 0.0002836,   0.02 
36, 0.0003219, 0.03667 
37, 0.0003653, 0.02667 
38, 0.0004147,   0.03 
39, 0.0004706,   0.04 
40, 0.0005342, 0.05667 
41, 0.0006063,   0.05 
42, 0.0006881, 0.05667 
43, 0.000781, 0.05667 
44, 0.0008865, 0.04667 
45, 0.001006, 0.04333 
46, 0.001142,   0.04 
47, 0.001296, 0.03667 
48, 0.001471, 0.01667 
49, 0.00167, 0.02333 
50, 0.001895, 0.04333 
51, 0.002151,   0.03 
52, 0.002441,   0.01 
53, 0.002771,   0.02 
54, 0.003145, 0.003333 
55, 0.00357, 0.006667 
56, 0.004052, 0.003333 
57, 0.004599,      0 
58, 0.00522, 0.003333 
59, 0.005924, 0.003333 
60, 0.006724, 0.003333 
61, 0.007632,      0 
62, 0.008662,      0 
63, 0.009831,      0 
64, 0.01116,      0 
65, 0.01267,      0 
66, 0.01437,      0 
67, 0.01632,      0 
68, 0.01852,      0 
69, 0.02102,      0 
70, 0.02386,      0 
71, 0.02708,      0 
72, 0.03073,      0 
73, 0.03488,      0 
74, 0.03959,      0 
75, 0.04493,      0 
76,  0.051,      0 
77, 0.05789,      0 
78, 0.0657,      0 
79, 0.07457,      0 
80, 0.08464,      0 
81, 0.09606,      0 
82,  0.109,      0 
83, 0.1238,      0 
84, 0.1405,      0 
85, 0.1594,      0 
86, 0.1809,      0 
87, 0.2054,      0 
88, 0.2331,      0 
89, 0.2646,      0 
90, 0.3003,      0 
91, 0.3408,      0 
92, 0.3868,      0 
93, 0.4391,      0 
94, 0.4983,      0 
95, 0.5656,      0 
96,  0.642,      0 
97, 0.7286,      0 
98,  0.827,      0 
99, 0.9386,      0 
